Frame,Value
0,358
1,344
2,346
3,357
4,351
5,365
6,349
7,367
8,370
9,366
10,361
11,364
12,343
13,356
14,367
15,341
16,350
17,348
18,348
19,350
20,356
21,355
22,369
23,349
24,370
25,369
26,345
27,367
28,357
29,351
30,370
31,366
32,361
33,347
34,354
35,365
36,354
37,370
38,345
39,365
40,349
41,359
42,369
43,343
44,366
45,365
46,360
47,344
48,351
49,370
50,360
51,360
52,369
53,342
54,344
55,357
56,350
57,352
58,343
59,356
60,350
61,362
62,341
63,345
64,340
65,369
66,367
67,370
68,342
69,347
70,365
71,357
72,350
73,359
74,344
75,356
76,342
77,344
78,349
79,369
80,359
81,369
82,367
83,346
84,364
85,355
86,344
87,340
88,364
89,348
90,347
91,364
92,355
93,351
94,367
95,344
96,346
97,360
98,346
99,364
100,352
101,357
102,356
103,340
104,348
105,355
106,352
107,356
108,365
109,341
110,356
111,353
112,343
113,341
114,346
115,351
116,362
117,350
118,369
119,349
120,366
121,359
122,358
123,354
124,365
125,344
126,363
127,362
128,352
129,351
130,366
131,340
132,355
133,349
134,343
135,352
136,358
137,355
138,346
139,359
140,353
141,363
142,361
143,359
144,349
145,363
146,368
147,357
148,341
149,364
150,360
151,352
152,367
153,347
154,340
155,363
156,366
157,367
158,357
159,347
160,356
161,350
162,369
163,352
164,352
165,351
166,351
167,356
168,369
169,348
170,353
171,354
172,348
173,370
174,360
175,346
176,354
177,350
178,343
179,342
180,354
181,340
182,354
183,350
184,359
185,361
186,344
187,342
188,342
189,350
190,350
191,356
192,351
193,368
194,351
195,345
196,360
197,358
198,367
199,358
200,345
201,370
202,368
203,365
204,343
205,347
206,356
207,346
208,340
209,367
210,353
211,366
212,356
213,357
214,363
215,356
216,346
217,360
218,353
219,355
220,357
221,369
222,340
223,362
224,346
225,354
226,347
227,345
228,358
229,365
230,346
231,344
232,360
233,362
234,368
235,364
236,366
237,366
238,363
239,346
240,342
241,342
242,369
243,349
244,344
245,365
246,359
247,368
248,367
249,354
250,352
251,365
252,344
253,341
254,351
255,368
256,353
257,351
258,352
259,362
260,363
261,342
262,365
263,364
264,364
265,365
266,365
267,346
268,345
269,364
270,363
271,370
272,349
273,358
274,356
275,360
276,367
277,350
278,347
279,343
280,351
281,367
282,350
283,344
284,360
285,357
286,358
287,357
288,368
289,368
290,344
291,359
292,343
293,355
294,358
295,352
296,355
297,363
298,341
299,361
300,355
301,344
302,361
303,354
304,353
305,348
306,366
307,346
308,346
309,350
310,340
311,363
312,363
313,354
314,342
315,345
316,366
317,354
318,356
319,359
320,357
321,349
322,353
323,362
324,367
325,346
326,346
327,346
328,358
329,363
330,345
331,369
332,344
333,342
334,344
335,341
336,349
337,361
338,358
339,370
340,345
341,349
342,350
343,346
344,352
345,347
346,357
347,369
348,366
349,354
350,370
351,350
352,345
353,363
354,365
355,354
356,355
357,366
358,363
359,340
360,367
361,350
362,347
363,369
364,356
365,365
366,346
367,364
368,342
369,366
370,359
371,356
372,366
373,369
374,347
375,344
376,365
377,358
378,343
379,361
380,344
381,355
382,366
383,357
384,365
385,350
386,342
387,350
388,349
389,353
390,340
391,370
392,347
393,367
394,368
395,352
396,357
397,348
398,364
399,344
400,341
401,349
402,360
403,365
404,352
405,366
406,341
407,341
408,349
409,356
410,340
411,364
412,351
413,359
414,359
415,359
416,364
417,347
418,360
419,342
420,341
421,349
422,347
423,351
424,353
425,345
426,362
427,349
428,362
429,355
430,344
431,354
432,367
433,346
434,368
435,368
436,366
437,368
438,364
439,354
440,352
441,346
442,346
443,352
444,346
445,353
446,367
447,352
448,343
449,355
450,355
451,355
452,369
453,360
454,357
455,348
456,366
457,363
458,343
459,367
460,350
461,342
462,353
463,350
464,349
465,367
466,356
467,362
468,361
469,363
470,354
471,358
472,347
473,369
474,343
475,346
476,363
477,363
478,345
479,343
480,361
481,369
482,353
483,368
484,349
485,370
486,347
487,342
488,354
489,348
490,344
491,367
492,356
493,346
494,356
495,340
496,356
497,350
498,346
499,347
500,366
501,369
502,346
503,353
504,369
505,348
506,351
507,370
508,347
509,354
510,342
511,364
512,361
513,353
514,349
515,357
516,355
517,365
518,352
519,364
520,356
521,358
522,362
523,358
524,359
525,350
526,340
527,353
528,359
529,349
530,358
531,347
532,366
533,355
534,352
535,340
536,360
537,367
538,370
539,361
540,365
541,349
542,359
543,370
544,362
545,342
546,345
547,358
548,358
549,358
550,356
551,366
552,346
553,348
554,365
555,354
556,341
557,361
558,366
559,356
560,349
561,351
562,345
563,352
564,367
565,355
566,346
567,347
568,368
569,359
570,369
571,349
572,340
573,357
574,342
575,342
576,346
577,347
578,358
579,343
580,365
581,358
582,346
583,367
584,368
585,366
586,370
587,352
588,357
589,357
590,344
591,363
592,362
593,353
594,340
595,347
596,361
597,344
598,361
599,359
600,360
601,351
602,361
603,352
604,370
605,365
606,342
607,348
608,342
609,365
610,358
611,346
612,362
613,344
614,370
615,364
616,344
617,356
618,342
619,346
620,342
621,353
622,370
623,364
624,342
625,358
626,357
627,352
628,368
629,353
630,363
631,345
632,368
633,345
634,364
635,358
636,356
637,345
638,351
639,363
640,351
641,344
642,358
643,350
644,343
645,348
646,350
647,368
648,364
649,343
650,340
651,368
652,363
653,365
654,354
655,362
656,353
657,358
658,352
659,348
660,349
661,357
662,345
663,340
664,361
665,362
666,356
667,353
668,369
669,351
670,368
671,354
672,341
673,357
674,362
675,351
676,360
677,351
678,340
679,342
680,351
681,370
682,352
683,367
684,368
685,352
686,362
687,368
688,368
689,345
690,362
691,360
692,367
693,353
694,352
695,360
696,367
697,345
698,342
699,347
700,349
701,347
702,362
703,367
704,359
705,353
706,353
707,347
708,364
709,369
710,351
711,352
712,355
713,354
714,353
715,356
716,342
717,360
718,360
719,351
720,364
721,369
722,347
723,340
724,357
725,359
726,356
727,359
728,344
729,356
730,370
731,351
732,354
733,359
734,352
735,347
736,346
737,360
738,356
739,369
740,365
741,346
742,364
743,366
744,355
745,366
746,365
747,362
748,353
749,341
750,345
751,349
752,356
753,368
754,367
755,359
756,361
757,361
758,345
759,351
760,364
761,341
762,363
763,344
764,370
765,364
766,368
767,355
768,347
769,360
770,351
771,367
772,344
773,342
774,358
775,365
776,369
777,361
778,363
779,353
780,363
781,361
782,365
783,362
784,344
785,348
786,343
787,368
788,370
789,360
790,366
791,366
792,349
793,347
794,342
795,366
796,357
797,342
798,344
799,349
800,369
801,361
802,352
803,349
804,370
805,368
806,365
807,344
808,348
809,341
810,370
811,351
812,344
813,355
814,364
815,370
816,355
817,351
818,355
819,351
820,340
821,361
822,363
823,342
824,361
825,343
826,343
827,352
828,360
829,354
830,358
831,351
832,344
833,347
834,365
835,360
836,348
837,360
838,349
839,365
840,347
841,353
842,368
843,345
844,361
845,370
846,370
847,368
848,342
849,370
850,357
851,356
852,347
853,350
854,366
855,345
856,342
857,354
858,361
859,366
860,369
861,360
862,355
863,366
864,342
865,355
866,365
867,363
868,365
869,355
870,368
871,355
872,354
873,367
874,358
875,341
876,352
877,354
878,361
879,359
880,364
881,369
882,340
883,367
884,368
885,343
886,354
887,363
888,350
889,355
890,340
891,347
892,362
893,361
894,368
895,369
896,345
897,355
898,343
899,360
900,354
901,357
902,358
903,352
904,356
905,356
906,365
907,359
908,368
909,360
910,351
911,362
912,348
913,353
914,370
915,353
916,367
917,349
918,367
919,352
920,363
921,341
922,342
923,363
924,349
925,355
926,362
927,356
928,347
929,364
930,344
931,366
932,349
